G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
X                             101         0.7305790035      0.0000000000      0.5000000000      0.0000000000
M                             201         1.4611580070      0.5000000000      0.5000000000      0.0000000000
G                             342         2.4943527421      0.0000000000      0.0000000000      0.0000000000
Z                             412         3.0055248305      0.0000000000      0.0000000000      0.5000000000
R                             512         3.7361038340      0.0000000000      0.5000000000      0.5000000000
A                             612         4.4666828375      0.5000000000      0.5000000000      0.5000000000
Z                             753         5.4998775726      0.0000000000      0.0000000000      0.5000000000
